epoch,acc,loss,val_acc,val_loss
0,0.3272,1.8383274142456054,0.4387,1.5482055452346801
1,0.45436,1.5067513974380493,0.5027,1.3607581356048584
2,0.5128,1.3564926403808595,0.5544,1.2478217905044555
3,0.55372,1.2548013356781005,0.5895,1.1496234319686889
4,0.58434,1.1781403222084046,0.6155,1.0934872093200683
5,0.60822,1.1155555131149293,0.6363,1.0349347341537476
6,0.62736,1.058804914779663,0.6572,0.9724991310119628
7,0.64412,1.0138770748329162,0.6753,0.9307601499557495
8,0.65742,0.9763699191665649,0.6599,0.9689010439395904
9,0.66746,0.9412198775291443,0.6872,0.8902503650665283
10,0.6774,0.9156084560966492,0.6964,0.8741145131111145
11,0.6896,0.8874555739879608,0.6975,0.8644221888542175
12,0.70026,0.8665124421310425,0.7141,0.8210249265670776
13,0.70498,0.8454795185089111,0.7233,0.7904024285316468
14,0.71182,0.8254498197937011,0.7267,0.8074089279174804
15,0.71938,0.8099658581352234,0.7352,0.7720352756500244
16,0.72348,0.7977776302146912,0.7301,0.7762258175849914
17,0.72982,0.7833559514427185,0.7276,0.7947601243019105
18,0.73106,0.7747958052253723,0.7393,0.7472708698272705
19,0.73612,0.7648953397941589,0.7331,0.7747389530181885
20,0.74252,0.753127361869812,0.7496,0.7360003273963929
21,0.74078,0.7514323888683319,0.7511,0.7451526934623718
22,0.74594,0.7459286846160889,0.7497,0.7246764030456543
23,0.7491,0.7305394958019257,0.7576,0.7135593364715577
24,0.75128,0.7262572526550293,0.7568,0.701144107246399
25,0.75354,0.7195291438102722,0.7542,0.7241467964172363
26,0.75714,0.7130484092140198,0.7676,0.6774114459037781
27,0.75898,0.7121549167346954,0.7677,0.6817723615646363
28,0.76218,0.7020363297271729,0.7607,0.7211383728027344
29,0.76086,0.7002476305103302,0.7621,0.705819187450409
30,0.76186,0.6958924923801422,0.7498,0.7362165822982788
31,0.76372,0.6926277875137329,0.767,0.6892289885520935
32,0.76596,0.6876545405578613,0.7709,0.6712557311058045
33,0.77062,0.6797163432884217,0.7715,0.6866265347480774
34,0.7702,0.6771703534412384,0.7784,0.6539142580032349
35,0.77262,0.6746753591823578,0.7714,0.6701200456619263
36,0.77324,0.6673734830665589,0.779,0.6648747507095337
37,0.7725,0.671098271598816,0.7768,0.6746987570762635
38,0.77826,0.658793283996582,0.7834,0.6458493237972259
39,0.77598,0.6601396073150635,0.7669,0.6847019014358521
40,0.77786,0.6577330740261078,0.7789,0.6785130330085755
41,0.77922,0.6529519609642028,0.7805,0.6510222144126893
42,0.77924,0.6565421367931366,0.781,0.6473776607036591
43,0.77966,0.6519361986160278,0.7742,0.6786839922904968
44,0.78128,0.6462638638305664,0.7778,0.6628867750167846
45,0.78274,0.6459532277774811,0.7806,0.6508054648399353
46,0.77978,0.6491870952320099,0.7779,0.6493334867477417
47,0.78314,0.6422241474533081,0.7817,0.6652123978614807
48,0.78666,0.6361921981811524,0.7813,0.6536390582084656
49,0.78332,0.6427949017047883,0.7909,0.6347617004394531
50,0.7873,0.6374610049438476,0.7809,0.6685728631496429
51,0.78398,0.6400716163539887,0.7792,0.6623288598537445
52,0.789,0.6316539724063873,0.7843,0.6658077414512634
53,0.78624,0.636796198682785,0.7865,0.6584940689086914
54,0.78834,0.6315384760379791,0.7855,0.6459714628696441
55,0.78734,0.6327007005119324,0.7839,0.6517688420295715
56,0.78962,0.6286509505844117,0.7824,0.730009128665924
57,0.78756,0.6303157165908814,0.7845,0.665730135011673
58,0.78916,0.6257148055076599,0.7711,0.6860199258804321
59,0.78702,0.628747310295105,0.7808,0.6734896844863891
